participant_id,session_date,image_id,attack_type,epsilon,true_class,human_response,confidence_rating,response_correct,response_time_ms
P001,06/05/2026,dog_04224,pgd,0.0,dog,frog,3,False,
P001,06/05/2026,ship_07833,pgd,0.0,ship,ship,7,True,
P001,06/05/2026,automobile_00953,pgd,0.0,automobile,truck,10,False,
P001,06/05/2026,airplane_00928,pgd,0.0,airplane,airplane,10,True,
P001,06/05/2026,bird_01802,pgd,0.0,bird,bird,10,True,
P001,06/05/2026,bird_08982,pgd,0.0,bird,frog,9,False,
P001,06/05/2026,ship_02254,pgd,0.0,ship,ship,10,True,
P001,06/05/2026,automobile_02859,pgd,0.0,automobile,automobile,10,True,
P001,06/05/2026,deer_01255,pgd,0.0,deer,deer,10,True,
P001,06/05/2026,dog_00085,pgd,0.0,dog,dog,10,True,
P001,06/05/2026,truck_05069,pgd,0.0,truck,truck,10,True,
P001,06/05/2026,airplane_02877,pgd,0.0,airplane,airplane,10,True,
P001,06/05/2026,deer_05402,pgd,0.0,deer,deer,10,True,
P001,06/05/2026,frog_08792,pgd,0.0,frog,dog,10,False,
P001,06/05/2026,horse_00177,pgd,0.0,horse,horse,10,True,
P001,06/05/2026,frog_07498,pgd,0.0,frog,cat,2,False,
P001,06/05/2026,dog_00639,pgd,0.0,dog,dog,10,True,
P001,06/05/2026,cat_05232,pgd,0.0,cat,cat,7,True,
P001,06/05/2026,truck_00951,pgd,0.0,truck,truck,10,True,
P001,06/05/2026,horse_04612,pgd,0.0,horse,horse,10,True,
P001,06/05/2026,cat_02798,pgd,0.05,cat,dog,10,False,
P001,06/05/2026,ship_00757,pgd,0.05,ship,ship,10,True,
P001,06/05/2026,cat_01606,pgd,0.05,cat,dog,8,False,
P001,06/05/2026,truck_01291,pgd,0.05,truck,truck,10,True,
P001,06/05/2026,horse_02586,pgd,0.05,horse,horse,10,True,
P001,06/05/2026,frog_00511,pgd,0.05,frog,deer,2,False,
P001,06/05/2026,deer_00702,pgd,0.05,deer,deer,10,True,
P001,06/05/2026,automobile_00961,pgd,0.05,automobile,automobile,10,True,
P001,06/05/2026,airplane_05652,pgd,0.05,airplane,airplane,10,True,
P001,06/05/2026,bird_07023,pgd,0.05,bird,bird,10,True,
P001,06/05/2026,automobile_02950,pgd,0.05,automobile,automobile,10,True,
P001,06/05/2026,bird_03174,pgd,0.05,bird,dog,7,False,
P001,06/05/2026,horse_04990,pgd,0.05,horse,horse,10,True,
P001,06/05/2026,deer_01592,pgd,0.05,deer,deer,10,True,
P001,06/05/2026,frog_06656,pgd,0.05,frog,dog,10,False,
P001,06/05/2026,dog_01548,pgd,0.05,dog,cat,7,False,
P001,06/05/2026,airplane_00255,pgd,0.05,airplane,airplane,10,True,
P001,06/05/2026,ship_09680,pgd,0.05,ship,airplane,9,False,
P001,06/05/2026,dog_05549,pgd,0.05,dog,bird,8,False,
