position,image_id,true_class,epsilon
1,dog_04224,dog,0.00
2,ship_07833,ship,0.00
3,automobile_00953,automobile,0.00
4,airplane_00928,airplane,0.00
5,bird_01802,bird,0.00
6,bird_08982,bird,0.00
7,ship_02254,ship,0.00
8,automobile_02859,automobile,0.00
9,deer_01255,deer,0.00
10,dog_00085,dog,0.00
11,truck_05069,truck,0.00
12,airplane_02877,airplane,0.00
13,deer_05402,deer,0.00
14,frog_08792,frog,0.00
15,horse_00177,horse,0.00
16,frog_07498,frog,0.00
17,dog_00639,dog,0.00
18,cat_05232,cat,0.00
19,truck_00951,truck,0.00
20,horse_04612,horse,0.00
21,cat_02798,cat,0.05
22,ship_00757,ship,0.05
23,cat_01606,cat,0.05
24,truck_01291,truck,0.05
25,horse_02586,horse,0.05
26,frog_00511,frog,0.05
27,deer_00702,deer,0.05
28,automobile_00961,automobile,0.05
29,airplane_05652,airplane,0.05
30,bird_07023,bird,0.05
31,automobile_02950,automobile,0.05
32,bird_03174,bird,0.05
33,horse_04990,horse,0.05
34,deer_01592,deer,0.05
35,frog_06656,frog,0.05
36,dog_01548,dog,0.05
37,airplane_00255,airplane,0.05
38,ship_09680,ship,0.05
39,dog_05549,dog,0.05
40,truck_02111,truck,0.05
41,dog_04988,dog,0.10
42,truck_06337,truck,0.10
43,bird_06969,bird,0.10
44,airplane_00074,airplane,0.10
45,frog_04877,frog,0.10
46,horse_09944,horse,0.10
47,automobile_02390,automobile,0.10
48,ship_08809,ship,0.10
49,bird_03076,bird,0.10
50,cat_02617,cat,0.10
51,deer_03356,deer,0.10
52,airplane_02232,airplane,0.10
53,dog_05450,dog,0.10
54,frog_08164,frog,0.10
55,automobile_01332,automobile,0.10
56,horse_02967,horse,0.10
57,ship_07055,ship,0.10
58,cat_03752,cat,0.10
59,truck_06951,truck,0.10
60,deer_06322,deer,0.10
61,cat_02660,cat,0.20
62,ship_03051,ship,0.20
63,cat_06079,cat,0.20
64,horse_05508,horse,0.20
65,truck_03939,truck,0.20
66,airplane_06118,airplane,0.20
67,bird_09467,bird,0.20
68,frog_06894,frog,0.20
69,automobile_03080,automobile,0.20
70,deer_00022,deer,0.20
71,bird_03068,bird,0.20
72,dog_02151,dog,0.20
73,deer_07143,deer,0.20
74,frog_02702,frog,0.20
75,dog_04988,dog,0.20
76,ship_01820,ship,0.20
77,horse_04019,horse,0.20
78,airplane_00074,airplane,0.20
79,truck_02656,truck,0.20
80,automobile_07948,automobile,0.20
81,bird_05771,bird,0.30
82,automobile_00572,automobile,0.30
83,horse_09438,horse,0.30
84,frog_03486,frog,0.30
85,ship_02898,ship,0.30
86,cat_04032,cat,0.30
87,deer_04567,deer,0.30
88,airplane_03493,airplane,0.30
89,truck_09117,truck,0.30
90,dog_06183,dog,0.30
91,ship_00665,ship,0.30
92,cat_07717,cat,0.30
93,truck_00707,truck,0.30
94,airplane_07754,airplane,0.30
95,horse_05009,horse,0.30
96,frog_05072,frog,0.30
97,deer_02069,deer,0.30
98,automobile_04755,automobile,0.30
99,bird_01746,bird,0.30
100,dog_02317,dog,0.30
